skill_name,source,author,published_date,description,evidence,attack_chain,risk_category,impact_scope,confidence,severity,mitigation
amir,Koi ClawHavoc report,未确认,2026-02-01,伪装更新器/安装器,Koi 将其归入 Auto-Updaters 恶意/可疑技能清单,Prerequisites→外链安装脚本→payload,伪装/远程执行,主机+凭据,4,高,立即下架/阻断IOC/轮换凭据
auto-updater-161ks,Koi ClawHavoc report,未确认,2026-02-01,伪装更新器/安装器,Koi 将其归入 Auto-Updaters 恶意/可疑技能清单,Prerequisites→外链安装脚本→payload,伪装/远程执行,主机+凭据,4,高,立即下架/阻断IOC/轮换凭据
auto-updater-2yq87,Koi ClawHavoc report,未确认,2026-02-01,伪装更新器/安装器,Koi 将其归入 Auto-Updaters 恶意/可疑技能清单,Prerequisites→外链安装脚本→payload,伪装/远程执行,主机+凭据,4,高,立即下架/阻断IOC/轮换凭据
auto-updater-3rk1s,Koi ClawHavoc report,未确认,2026-02-01,伪装更新器/安装器,Koi 将其归入 Auto-Updaters 恶意/可疑技能清单,Prerequisites→外链安装脚本→payload,伪装/远程执行,主机+凭据,4,高,立即下架/阻断IOC/轮换凭据
auto-updater-5buwl,Koi ClawHavoc report,未确认,2026-02-01,伪装更新器/安装器,Koi 将其归入 Auto-Updaters 恶意/可疑技能清单,Prerequisites→外链安装脚本→payload,伪装/远程执行,主机+凭据,4,高,立即下架/阻断IOC/轮换凭据
auto-updater-5fhqm,Koi ClawHavoc report,未确认,2026-02-01,伪装更新器/安装器,Koi 将其归入 Auto-Updaters 恶意/可疑技能清单,Prerequisites→外链安装脚本→payload,伪装/远程执行,主机+凭据,4,高,立即下架/阻断IOC/轮换凭据
auto-updater-8xwp6,Koi ClawHavoc report,未确认,2026-02-01,伪装更新器/安装器,Koi 将其归入 Auto-Updaters 恶意/可疑技能清单,Prerequisites→外链安装脚本→payload,伪装/远程执行,主机+凭据,4,高,立即下架/阻断IOC/轮换凭据
auto-updater-deza8,Koi ClawHavoc report,未确认,2026-02-01,伪装更新器/安装器,Koi 将其归入 Auto-Updaters 恶意/可疑技能清单,Prerequisites→外链安装脚本→payload,伪装/远程执行,主机+凭据,4,高,立即下架/阻断IOC/轮换凭据
auto-updater-dzuba,Koi ClawHavoc report,未确认,2026-02-01,伪装更新器/安装器,Koi 将其归入 Auto-Updaters 恶意/可疑技能清单,Prerequisites→外链安装脚本→payload,伪装/远程执行,主机+凭据,4,高,立即下架/阻断IOC/轮换凭据
auto-updater-e89da,Koi ClawHavoc report,未确认,2026-02-01,伪装更新器/安装器,Koi 将其归入 Auto-Updaters 恶意/可疑技能清单,Prerequisites→外链安装脚本→payload,伪装/远程执行,主机+凭据,4,高,立即下架/阻断IOC/轮换凭据
auto-updater-eclpb,Koi ClawHavoc report,未确认,2026-02-01,伪装更新器/安装器,Koi 将其归入 Auto-Updaters 恶意/可疑技能清单,Prerequisites→外链安装脚本→payload,伪装/远程执行,主机+凭据,4,高,立即下架/阻断IOC/轮换凭据
auto-updater-gw6f5,Koi ClawHavoc report,未确认,2026-02-01,伪装更新器/安装器,Koi 将其归入 Auto-Updaters 恶意/可疑技能清单,Prerequisites→外链安装脚本→payload,伪装/远程执行,主机+凭据,4,高,立即下架/阻断IOC/轮换凭据
auto-updater-hfmct,Koi ClawHavoc report,未确认,2026-02-01,伪装更新器/安装器,Koi 将其归入 Auto-Updaters 恶意/可疑技能清单,Prerequisites→外链安装脚本→payload,伪装/远程执行,主机+凭据,4,高,立即下架/阻断IOC/轮换凭据
auto-updater-jkiuq,Koi ClawHavoc report,未确认,2026-02-01,伪装更新器/安装器,Koi 将其归入 Auto-Updaters 恶意/可疑技能清单,Prerequisites→外链安装脚本→payload,伪装/远程执行,主机+凭据,4,高,立即下架/阻断IOC/轮换凭据
auto-updater-lth9t,Koi ClawHavoc report,未确认,2026-02-01,伪装更新器/安装器,Koi 将其归入 Auto-Updaters 恶意/可疑技能清单,Prerequisites→外链安装脚本→payload,伪装/远程执行,主机+凭据,4,高,立即下架/阻断IOC/轮换凭据
auto-updater-m0fsa,Koi ClawHavoc report,未确认,2026-02-01,伪装更新器/安装器,Koi 将其归入 Auto-Updaters 恶意/可疑技能清单,Prerequisites→外链安装脚本→payload,伪装/远程执行,主机+凭据,4,高,立即下架/阻断IOC/轮换凭据
auto-updater-mclql,Koi ClawHavoc report,未确认,2026-02-01,伪装更新器/安装器,Koi 将其归入 Auto-Updaters 恶意/可疑技能清单,Prerequisites→外链安装脚本→payload,伪装/远程执行,主机+凭据,4,高,立即下架/阻断IOC/轮换凭据
auto-updater-mkukz,Koi ClawHavoc report,未确认,2026-02-01,伪装更新器/安装器,Koi 将其归入 Auto-Updaters 恶意/可疑技能清单,Prerequisites→外链安装脚本→payload,伪装/远程执行,主机+凭据,4,高,立即下架/阻断IOC/轮换凭据
auto-updater-mn5ri,Koi ClawHavoc report,未确认,2026-02-01,伪装更新器/安装器,Koi 将其归入 Auto-Updaters 恶意/可疑技能清单,Prerequisites→外链安装脚本→payload,伪装/远程执行,主机+凭据,4,高,立即下架/阻断IOC/轮换凭据
auto-updater-nlt3m,Koi ClawHavoc report,未确认,2026-02-01,伪装更新器/安装器,Koi 将其归入 Auto-Updaters 恶意/可疑技能清单,Prerequisites→外链安装脚本→payload,伪装/远程执行,主机+凭据,4,高,立即下架/阻断IOC/轮换凭据
auto-updater-ocn18,Koi ClawHavoc report,未确认,2026-02-01,伪装更新器/安装器,Koi 将其归入 Auto-Updaters 恶意/可疑技能清单,Prerequisites→外链安装脚本→payload,伪装/远程执行,主机+凭据,4,高,立即下架/阻断IOC/轮换凭据
auto-updater-p5rmt,Koi ClawHavoc report,未确认,2026-02-01,伪装更新器/安装器,Koi 将其归入 Auto-Updaters 恶意/可疑技能清单,Prerequisites→外链安装脚本→payload,伪装/远程执行,主机+凭据,4,高,立即下架/阻断IOC/轮换凭据
auto-updater-qdyme,Koi ClawHavoc report,未确认,2026-02-01,伪装更新器/安装器,Koi 将其归入 Auto-Updaters 恶意/可疑技能清单,Prerequisites→外链安装脚本→payload,伪装/远程执行,主机+凭据,4,高,立即下架/阻断IOC/轮换凭据
auto-updater-se38e,Koi ClawHavoc report,未确认,2026-02-01,伪装更新器/安装器,Koi 将其归入 Auto-Updaters 恶意/可疑技能清单,Prerequisites→外链安装脚本→payload,伪装/远程执行,主机+凭据,4,高,立即下架/阻断IOC/轮换凭据
auto-updater-sxdg2,Koi ClawHavoc report,未确认,2026-02-01,伪装更新器/安装器,Koi 将其归入 Auto-Updaters 恶意/可疑技能清单,Prerequisites→外链安装脚本→payload,伪装/远程执行,主机+凭据,4,高,立即下架/阻断IOC/轮换凭据
auto-updater-xcgnm,Koi ClawHavoc report,未确认,2026-02-01,伪装更新器/安装器,Koi 将其归入 Auto-Updaters 恶意/可疑技能清单,Prerequisites→外链安装脚本→payload,伪装/远程执行,主机+凭据,4,高,立即下架/阻断IOC/轮换凭据
auto-updater-xsunp,Koi ClawHavoc report,未确认,2026-02-01,伪装更新器/安装器,Koi 将其归入 Auto-Updaters 恶意/可疑技能清单,Prerequisites→外链安装脚本→payload,伪装/远程执行,主机+凭据,4,高,立即下架/阻断IOC/轮换凭据
base-agent,Koi ClawHavoc report,未确认,2026-02-01,伪装交易/认证工具,Koi 将其归入 AuthTool Campaign 恶意/可疑技能清单,技能使用→植入恶意流程,凭据窃取/交易场景,交易账户/钱包/主机,5,高,立即下架/阻断IOC/轮换凭据
better-polymarket,Koi ClawHavoc report,未确认,2026-02-01,功能正常但藏后门,Koi 将其归入 Hidden Backdoor 恶意/可疑技能清单,正常功能调用→触发隐藏后门,隐藏后门/反连,主机完全控制,5,高,立即下架/阻断IOC/轮换凭据
bird-js,openclaw/skills archive,sakaen736jih,未确认,伪装社交媒体/X 工具,归档 SKILL.md 含 base64|bash 模式,Prerequisites→base64→payload,tool poisoning/远程执行,主机+浏览器数据,5,高,立即下架/阻断IOC/轮换凭据
bybit-agent,Koi ClawHavoc report,未确认,2026-02-01,伪装交易/认证工具,Koi 将其归入 AuthTool Campaign 恶意/可疑技能清单,技能使用→植入恶意流程,凭据窃取/交易场景,交易账户/钱包/主机,5,高,立即下架/阻断IOC/轮换凭据
clawdhub1,Snyk campaign article,zaycv,2026-02-05,ClawHub 伪装变体,Snyk 指向 glot.io/base64/IP 91.92.242.30,Prerequisites→glot/base64→payload,供应链伪装/远程执行,主机+凭据,5,高,立即下架/阻断IOC/轮换凭据
clawhub,Koi ClawHavoc report,未确认,2026-02-01,伪装官方 ClawHub/CLI,Koi 将其归入 ClawHub Typosquats 恶意/可疑技能清单,typosquat→Prerequisites→下载执行,供应链伪装/远程执行,主机+凭据,4,高,立即下架/阻断IOC/轮换凭据
clawhub-6yr3b,Koi ClawHavoc report,未确认,2026-02-01,伪装官方 ClawHub/CLI,Koi 将其归入 ClawHub Typosquats 恶意/可疑技能清单,typosquat→Prerequisites→下载执行,供应链伪装/远程执行,主机+凭据,4,高,立即下架/阻断IOC/轮换凭据
clawhub-c9y4p,Koi ClawHavoc report,未确认,2026-02-01,伪装官方 ClawHub/CLI,Koi 将其归入 ClawHub Typosquats 恶意/可疑技能清单,typosquat→Prerequisites→下载执行,供应链伪装/远程执行,主机+凭据,4,高,立即下架/阻断IOC/轮换凭据
clawhub-d4kxr,Koi ClawHavoc report,未确认,2026-02-01,伪装官方 ClawHub/CLI,Koi 将其归入 ClawHub Typosquats 恶意/可疑技能清单,typosquat→Prerequisites→下载执行,供应链伪装/远程执行,主机+凭据,4,高,立即下架/阻断IOC/轮换凭据
clawhub-f3qcn,Koi ClawHavoc report,未确认,2026-02-01,伪装官方 ClawHub/CLI,Koi 将其归入 ClawHub Typosquats 恶意/可疑技能清单,typosquat→Prerequisites→下载执行,供应链伪装/远程执行,主机+凭据,4,高,立即下架/阻断IOC/轮换凭据
clawhub-gpcrq,Koi ClawHavoc report,未确认,2026-02-01,伪装官方 ClawHub/CLI,Koi 将其归入 ClawHub Typosquats 恶意/可疑技能清单,typosquat→Prerequisites→下载执行,供应链伪装/远程执行,主机+凭据,4,高,立即下架/阻断IOC/轮换凭据
clawhub-gstca,Koi ClawHavoc report,未确认,2026-02-01,伪装官方 ClawHub/CLI,Koi 将其归入 ClawHub Typosquats 恶意/可疑技能清单,typosquat→Prerequisites→下载执行,供应链伪装/远程执行,主机+凭据,4,高,立即下架/阻断IOC/轮换凭据
clawhub-hh1fd,Koi ClawHavoc report,未确认,2026-02-01,伪装官方 ClawHub/CLI,Koi 将其归入 ClawHub Typosquats 恶意/可疑技能清单,typosquat→Prerequisites→下载执行,供应链伪装/远程执行,主机+凭据,4,高,立即下架/阻断IOC/轮换凭据
clawhub-hh2km,Koi ClawHavoc report,未确认,2026-02-01,伪装官方 ClawHub/CLI,Koi 将其归入 ClawHub Typosquats 恶意/可疑技能清单,typosquat→Prerequisites→下载执行,供应链伪装/远程执行,主机+凭据,4,高,立即下架/阻断IOC/轮换凭据
clawhub-hylhq,Koi ClawHavoc report,未确认,2026-02-01,伪装官方 ClawHub/CLI,Koi 将其归入 ClawHub Typosquats 恶意/可疑技能清单,typosquat→Prerequisites→下载执行,供应链伪装/远程执行,主机+凭据,4,高,立即下架/阻断IOC/轮换凭据
clawhub-i7oci,Koi ClawHavoc report,未确认,2026-02-01,伪装官方 ClawHub/CLI,Koi 将其归入 ClawHub Typosquats 恶意/可疑技能清单,typosquat→Prerequisites→下载执行,供应链伪装/远程执行,主机+凭据,4,高,立即下架/阻断IOC/轮换凭据
clawhub-i9zhz,Koi ClawHavoc report,未确认,2026-02-01,伪装官方 ClawHub/CLI,Koi 将其归入 ClawHub Typosquats 恶意/可疑技能清单,typosquat→Prerequisites→下载执行,供应链伪装/远程执行,主机+凭据,4,高,立即下架/阻断IOC/轮换凭据
clawhub-ja7eh,Koi ClawHavoc report,未确认,2026-02-01,伪装官方 ClawHub/CLI,Koi 将其归入 ClawHub Typosquats 恶意/可疑技能清单,typosquat→Prerequisites→下载执行,供应链伪装/远程执行,主机+凭据,4,高,立即下架/阻断IOC/轮换凭据
clawhub-krmvq,Koi ClawHavoc report,未确认,2026-02-01,伪装官方 ClawHub/CLI,Koi 将其归入 ClawHub Typosquats 恶意/可疑技能清单,typosquat→Prerequisites→下载执行,供应链伪装/远程执行,主机+凭据,4,高,立即下架/阻断IOC/轮换凭据
clawhub-oihpl,Koi ClawHavoc report,未确认,2026-02-01,伪装官方 ClawHub/CLI,Koi 将其归入 ClawHub Typosquats 恶意/可疑技能清单,typosquat→Prerequisites→下载执行,供应链伪装/远程执行,主机+凭据,4,高,立即下架/阻断IOC/轮换凭据
clawhub-olgys,Koi ClawHavoc report,未确认,2026-02-01,伪装官方 ClawHub/CLI,Koi 将其归入 ClawHub Typosquats 恶意/可疑技能清单,typosquat→Prerequisites→下载执行,供应链伪装/远程执行,主机+凭据,4,高,立即下架/阻断IOC/轮换凭据
clawhub-osasg,Koi ClawHavoc report,未确认,2026-02-01,伪装官方 ClawHub/CLI,Koi 将其归入 ClawHub Typosquats 恶意/可疑技能清单,typosquat→Prerequisites→下载执行,供应链伪装/远程执行,主机+凭据,4,高,立即下架/阻断IOC/轮换凭据
clawhub-rkvny,Koi ClawHavoc report,未确认,2026-02-01,伪装官方 ClawHub/CLI,Koi 将其归入 ClawHub Typosquats 恶意/可疑技能清单,typosquat→Prerequisites→下载执行,供应链伪装/远程执行,主机+凭据,4,高,立即下架/阻断IOC/轮换凭据
clawhub-sxtsn,Koi ClawHavoc report,未确认,2026-02-01,伪装官方 ClawHub/CLI,Koi 将其归入 ClawHub Typosquats 恶意/可疑技能清单,typosquat→Prerequisites→下载执行,供应链伪装/远程执行,主机+凭据,4,高,立即下架/阻断IOC/轮换凭据
clawhub-tlxx5,Koi ClawHavoc report,未确认,2026-02-01,伪装官方 ClawHub/CLI,Koi 将其归入 ClawHub Typosquats 恶意/可疑技能清单,typosquat→Prerequisites→下载执行,供应链伪装/远程执行,主机+凭据,4,高,立即下架/阻断IOC/轮换凭据
clawhub-uoeym,Koi ClawHavoc report,未确认,2026-02-01,伪装官方 ClawHub/CLI,Koi 将其归入 ClawHub Typosquats 恶意/可疑技能清单,typosquat→Prerequisites→下载执行,供应链伪装/远程执行,主机+凭据,4,高,立即下架/阻断IOC/轮换凭据
clawhub-wixce,Koi ClawHavoc report,未确认,2026-02-01,伪装官方 ClawHub/CLI,Koi 将其归入 ClawHub Typosquats 恶意/可疑技能清单,typosquat→Prerequisites→下载执行,供应链伪装/远程执行,主机+凭据,4,高,立即下架/阻断IOC/轮换凭据
clawhub-wotp2,Koi ClawHavoc report,未确认,2026-02-01,伪装官方 ClawHub/CLI,Koi 将其归入 ClawHub Typosquats 恶意/可疑技能清单,typosquat→Prerequisites→下载执行,供应链伪装/远程执行,主机+凭据,4,高,立即下架/阻断IOC/轮换凭据
clawhub1,Koi ClawHavoc report,未确认,2026-02-01,伪装官方 ClawHub/CLI,Koi 将其归入 ClawHub Typosquats 恶意/可疑技能清单,typosquat→Prerequisites→下载执行,供应链伪装/远程执行,主机+凭据,4,高,立即下架/阻断IOC/轮换凭据
clawhubb,Koi ClawHavoc report,未确认,2026-02-01,伪装官方 ClawHub/CLI,Koi 将其归入 ClawHub Typosquats 恶意/可疑技能清单,typosquat→Prerequisites→下载执行,供应链伪装/远程执行,主机+凭据,4,高,立即下架/阻断IOC/轮换凭据
clawhubcli,Koi ClawHavoc report,未确认,2026-02-01,伪装官方 ClawHub/CLI,Koi 将其归入 ClawHub Typosquats 恶意/可疑技能清单,typosquat→Prerequisites→下载执行,供应链伪装/远程执行,主机+凭据,4,高,立即下架/阻断IOC/轮换凭据
clawhud,Snyk IOC list,zaycv,2026-02-05,ClawHub 伪装变体,Snyk 列为仍在线 IOC,Prerequisites→外链执行,供应链伪装/远程执行,主机+凭据,5,高,立即下架/阻断IOC/轮换凭据
clawwhub,Koi ClawHavoc report,未确认,2026-02-01,伪装官方 ClawHub/CLI,Koi 将其归入 ClawHub Typosquats 恶意/可疑技能清单,typosquat→Prerequisites→下载执行,供应链伪装/远程执行,主机+凭据,4,高,立即下架/阻断IOC/轮换凭据
cllawhub,Koi ClawHavoc report,未确认,2026-02-01,伪装官方 ClawHub/CLI,Koi 将其归入 ClawHub Typosquats 恶意/可疑技能清单,typosquat→Prerequisites→下载执行,供应链伪装/远程执行,主机+凭据,4,高,立即下架/阻断IOC/轮换凭据
coding-agent-1gx,Snyk threat actor repo,aztr0nutzs,2026-02-05,现成恶意 coding agent 样本目录,Snyk 点名 NET_NiNjA.v1.2 预置恶意技能目录,仓库样本→待投放,恶意样本仓库,待定,3,中,立即下架/阻断IOC/轮换凭据
deepresearch,GitHub issue #9197,zaycv,2026-02-04,伪装研究工具,GitHub issue 指向 ClawHavoc IOC,Prerequisites→下载执行,伪装/远程执行,主机+凭据,5,高,立即下架/阻断IOC/轮换凭据
ethereum-gas-tracker-abxf0,Koi ClawHavoc report,未确认,2026-02-01,伪装加密行情/链上工具,Koi 将其归入 Ethereum Gas Tracker 恶意/可疑技能清单,社工安装→外链下载→payload,加密场景伪装,钱包/API/主机,4,高,立即下架/阻断IOC/轮换凭据
ethereum-gas-tracker-esupl,Koi ClawHavoc report,未确认,2026-02-01,伪装加密行情/链上工具,Koi 将其归入 Ethereum Gas Tracker 恶意/可疑技能清单,社工安装→外链下载→payload,加密场景伪装,钱包/API/主机,4,高,立即下架/阻断IOC/轮换凭据
ethereum-gas-tracker-fygz0,Koi ClawHavoc report,未确认,2026-02-01,伪装加密行情/链上工具,Koi 将其归入 Ethereum Gas Tracker 恶意/可疑技能清单,社工安装→外链下载→payload,加密场景伪装,钱包/API/主机,4,高,立即下架/阻断IOC/轮换凭据
ethereum-gas-tracker-gon2c,Koi ClawHavoc report,未确认,2026-02-01,伪装加密行情/链上工具,Koi 将其归入 Ethereum Gas Tracker 恶意/可疑技能清单,社工安装→外链下载→payload,加密场景伪装,钱包/API/主机,4,高,立即下架/阻断IOC/轮换凭据
ethereum-gas-tracker-hx8j0,Koi ClawHavoc report,未确认,2026-02-01,伪装加密行情/链上工具,Koi 将其归入 Ethereum Gas Tracker 恶意/可疑技能清单,社工安装→外链下载→payload,加密场景伪装,钱包/API/主机,4,高,立即下架/阻断IOC/轮换凭据
ethereum-gas-tracker-k51pi,Koi ClawHavoc report,未确认,2026-02-01,伪装加密行情/链上工具,Koi 将其归入 Ethereum Gas Tracker 恶意/可疑技能清单,社工安装→外链下载→payload,加密场景伪装,钱包/API/主机,4,高,立即下架/阻断IOC/轮换凭据
ethereum-gas-tracker-leifg,Koi ClawHavoc report,未确认,2026-02-01,伪装加密行情/链上工具,Koi 将其归入 Ethereum Gas Tracker 恶意/可疑技能清单,社工安装→外链下载→payload,加密场景伪装,钱包/API/主机,4,高,立即下架/阻断IOC/轮换凭据
ethereum-gas-tracker-lm4cv,Koi ClawHavoc report,未确认,2026-02-01,伪装加密行情/链上工具,Koi 将其归入 Ethereum Gas Tracker 恶意/可疑技能清单,社工安装→外链下载→payload,加密场景伪装,钱包/API/主机,4,高,立即下架/阻断IOC/轮换凭据
ethereum-gas-tracker-mnsfw,Koi ClawHavoc report,未确认,2026-02-01,伪装加密行情/链上工具,Koi 将其归入 Ethereum Gas Tracker 恶意/可疑技能清单,社工安装→外链下载→payload,加密场景伪装,钱包/API/主机,4,高,立即下架/阻断IOC/轮换凭据
ethereum-gas-tracker-nmcq5,Koi ClawHavoc report,未确认,2026-02-01,伪装加密行情/链上工具,Koi 将其归入 Ethereum Gas Tracker 恶意/可疑技能清单,社工安装→外链下载→payload,加密场景伪装,钱包/API/主机,4,高,立即下架/阻断IOC/轮换凭据
ethereum-gas-tracker-pz0kz,Koi ClawHavoc report,未确认,2026-02-01,伪装加密行情/链上工具,Koi 将其归入 Ethereum Gas Tracker 恶意/可疑技能清单,社工安装→外链下载→payload,加密场景伪装,钱包/API/主机,4,高,立即下架/阻断IOC/轮换凭据
ethereum-gas-tracker-qxorv,Koi ClawHavoc report,未确认,2026-02-01,伪装加密行情/链上工具,Koi 将其归入 Ethereum Gas Tracker 恶意/可疑技能清单,社工安装→外链下载→payload,加密场景伪装,钱包/API/主机,4,高,立即下架/阻断IOC/轮换凭据
ethereum-gas-tracker-rmiu4,Koi ClawHavoc report,未确认,2026-02-01,伪装加密行情/链上工具,Koi 将其归入 Ethereum Gas Tracker 恶意/可疑技能清单,社工安装→外链下载→payload,加密场景伪装,钱包/API/主机,4,高,立即下架/阻断IOC/轮换凭据
ethereum-gas-tracker-t8oaj,Koi ClawHavoc report,未确认,2026-02-01,伪装加密行情/链上工具,Koi 将其归入 Ethereum Gas Tracker 恶意/可疑技能清单,社工安装→外链下载→payload,加密场景伪装,钱包/API/主机,4,高,立即下架/阻断IOC/轮换凭据
google-qx4,Snyk Google skill report,aztr0nutzs,2026-02-10,伪装 Google 集成技能,Snyk 指出含 rentry/base64 stager,Prerequisites→rentry/base64→payload,办公集成伪装/远程执行,邮箱/文档/主机,5,高,立即下架/阻断IOC/轮换凭据
google-workspace-2z5dp,Koi ClawHavoc report,未确认,2026-02-01,伪装 Gmail/Calendar/Drive 集成,Koi 将其归入 Google Workspace 恶意/可疑技能清单,社工安装→权限/执行→数据获取,办公集成伪装,邮箱/文档/日程/主机,4,高,立即下架/阻断IOC/轮换凭据
google-workspace-7ylf0,Koi ClawHavoc report,未确认,2026-02-01,伪装 Gmail/Calendar/Drive 集成,Koi 将其归入 Google Workspace 恶意/可疑技能清单,社工安装→权限/执行→数据获取,办公集成伪装,邮箱/文档/日程/主机,4,高,立即下架/阻断IOC/轮换凭据
google-workspace-8zdgy,Koi ClawHavoc report,未确认,2026-02-01,伪装 Gmail/Calendar/Drive 集成,Koi 将其归入 Google Workspace 恶意/可疑技能清单,社工安装→权限/执行→数据获取,办公集成伪装,邮箱/文档/日程/主机,4,高,立即下架/阻断IOC/轮换凭据
google-workspace-auqud,Koi ClawHavoc report,未确认,2026-02-01,伪装 Gmail/Calendar/Drive 集成,Koi 将其归入 Google Workspace 恶意/可疑技能清单,社工安装→权限/执行→数据获取,办公集成伪装,邮箱/文档/日程/主机,4,高,立即下架/阻断IOC/轮换凭据
